Source name,src,R.A (J2000),DEC (J2000),l(deg),b(deg),Flux(1.4GHz) in Jy,Tsky (K),nhi,signhi,nhithin,signhithin,rhi,sigrhi,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm
J042353+345144 (3C115) ,3C115,04:23:53.25,34:51:45,164.76,-10.24,1.3,3.88,22.05840714055982,0.5821564771680271,19.1588451296686,0.04758130502997938,1.1513432564054227,0.03052002220126377,5.479789051521575,0.2675981327749451,16.57861808903825,0.5170081268646078,0.24842179295193223,0.013789629602351715
J060536+014512 (4C+01.17) ,4C+01.17,06:05:36.56,01:45:12.70,206.08,-9.37,0.61,4.07,25.19562125418433,0.9078856368112198,22.50158496080185,0.0800366157096369,1.1197265125134759,0.040543728478702995,5.580436361962088,0.2899905750170964,19.61518489222225,0.8603265635381532,0.2214843724496503,0.014005855830839666
J045956+270602 (4C+27.14) ,4C+27.14,04:59:56.09,27:06:03,175.83,-9.36,0.93,3.9,30.88761300883937,0.3268264727128388,26.88086964954387,0.01135746877420291,1.1490555704310514,0.012168018643747568,11.180545955355,0.2958478659606144,19.70706705348437,0.1388869449317189,0.3619750724070316,0.01031560755007179
J051740+235110 (4C+23.14) ,4C+23.14,05:17:40.81,23:51:10.20,180.86,-8.01,0.97,4.32,32.56646435297842,0.5073119850182166,25.95983329037717,0.06064636036462161,1.254494356288883,0.01976072330924481,7.774635229468642,0.4495155629113191,24.79182912350978,0.2351620905750822,0.23873132634852945,0.014295228049907092
J045323+312924 (3C131) ,3C131,04:53:23.34,31:29:24,171.44,-7.8,2.87,4.04,34.07041926430227,0.04236721470695518,25.55289431722346,0.004744045007184272,1.333329165821256,0.0016763970890168306,14.06801707429326,0.02770105143614617,20.00240219000901,0.03205670961526189,0.41291000751004003,0.0009616119785208525
J053557+175600 (4C+17.33) ,4C+17.33,05:35:57.42,17:56:00.70,188.22,-7.67,0.83,4.23,38.67671988176707,0.904181906066591,29.21356621022335,0.0582912225928762,1.3239301084792607,0.031063286483263196,11.08981597032751,0.5613876105745734,27.58690391143956,0.7087939545111714,0.2867310362468317,0.015987936397599493
J053444+192721 (PKS0531+19) ,PKS0531+19,05:34:44.51,19:27:21.70,186.76,-7.11,7.02,6.48,27.28852948499335,3.644567537602803,25.30993537532002,0.05511354231969468,1.0781746014097957,0.1440166427836059,3.782391916659573,2.615959534139359,23.50613756833378,2.537642262395067,0.1386073924848023,0.09763401976581254
J054046+172839 (4C+17.34) ,4C+17.34,05:40:46.05,17:28:39.20,189.21,-6.93,1.47,4.5,30.55964718709387,3.194104729270855,27.82474239989085,0.0455904990431166,1.0982903901821477,0.11480778966231034,3.672760007332474,0.7997977807865257,26.88688717976139,3.092350001438936,0.12018332492017694,0.029030182418251928
J050929+295755 (4C+29.16) ,4C+29.16,05:09:29.51,29:57:56,174.77,-5.97,1.06,4.03,35.98349115019078,5.949652605962444,29.94060302451302,0.06583303543828029,1.2018292056686473,0.19873275957999276,13.13489152062142,4.733267815245144,22.84859962956936,3.604794296600038,0.36502549087852415,0.1447254774513041
J061900+050630 ,J061900+050630,06:19:00.21,05:06:30.80,204.66,-4.84,0.69,4.19,34.99448581875546,0.9005602273568788,35.15173839988746,0.0628797456745953,0.9955264636035039,0.025681040928265564,6.586107375947099,0.2783199190939852,28.40837844280836,0.8564734355090009,0.1882041476493775,0.009311920103467092
J062812+010926 (4C+01.19) ,4C+01.19,06:28:12.55,01:09:26.00,209.24,-4.64,0.94,4.27,74.18347977505883,0.8707026634832655,52.46279595966201,0.08970530049894927,1.4140207058750278,0.016771764174923886,23.49343681165025,0.3712427836055456,50.69004296340858,0.7875924858819178,0.3166936477351519,0.006233824868815231
J062152+043834 (4C+04.22) ,4C+04.22,06:21:52.90,04:38:34.50,205.41,-4.43,1.06,4.35,48.8276933355659,0.4041736399477877,40.81744921250468,0.06663560172988837,1.1962455831416146,0.010092723936581156,21.67721503841761,0.2745242390290652,27.15047829714829,0.2966357588257973,0.44395328875034146,0.006716756186847196
J062551+043540 (4C+04.24) ,4C+04.24,06:25:51.89,04:35:40.20,205.92,-3.57,0.81,4.28,99.91773484100122,6.275509646531639,56.05211240267591,0.0853912400733618,1.7825864282008965,0.11199141618133727,44.17224366518296,4.377101201787074,55.74549117581827,4.496999710142954,0.4420861195009486,0.0518652900920242
J053425+273223 (B0531+2730) ,B0531+2730,05:34:25.73,27:32:24,179.87,-2.83,1.04,4.25,56.75141658442362,1.218923556283249,42.35899895656765,0.07866139553058661,1.3397723738139582,0.02888337904264573,22.64420737496679,0.6425431457722451,34.10720920945683,1.035815109893319,0.39900691009679345,0.014199781912143135
J061622+115553 ,J061622+115553,06:16:22.32,11:55:53.90,198.33,-2.2,0.83,4.41,82.07087246662486,7.74568384853683,54.72740402578496,0.0830539094146168,1.4996302844541456,0.14155038598045522,35.95338951804406,7.522240240398288,46.1174829485808,1.847030061265115,0.43807734019965433,0.10054905871089502
